,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
452,Mount Gardner,SNOQUALMIE REGION -- SNOQUALMIE PASS,12.0,1500.0,3800.0,2.8,5,Access to Mount Gardner has been closed by a gate and a washout.,"['Mountain views', 'Wildlife', 'Dogs allowed on leash']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
453,Mineral Creek,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,10.8,2570.0,4900.0,2.5,6,Here's a quiet but extremely rough trail that provides access to the Pacific Crest Trail from Salmon La Sac.,"['Mountain views', 'Old growth', 'Lakes', 'Established campsites', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
454,Miller River Road Snowshoe,CENTRAL CASCADES -- STEVENS PASS - WEST,7.4,700.0,2200.0,4.0,1,"In winter, and, as with all showshoeing, the right gear, it is possible to snowshoe the Miller River Road to the Dorothy Lake Trailhead.","['Old growth', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Mount Catherine,SNOQUALMIE REGION -- SNOQUALMIE PASS,3.0,1330.0,5052.0,4.14,44,"Where can you find unobstructed views of Mount Rainier and the mountains of Snoqualmie Pass, see rare butterfly species, and go berry-picking, all in return for a modest 1330-foot elevation gain? Mount Catherine, of course! This off-the-beaten-path hike to the summit of a wintertime ski destination is one of the most rewarding climbs along the southern wall of Snoqualmie Pass.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Good for kids']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Marckworth Forest,SNOQUALMIE REGION -- NORTH BEND AREA,,530.0,760.0,3.0,3,"Marckworth Forest offers some wonderful walking among forest, marshes, and rumpled rocky hills, as long as you're ok doing your own routefinding on logging roads. It's a quiet, little known and infrequently visited spot, less than an hour's drive from Seattle.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Hope and Mig Lakes,CENTRAL CASCADES -- STEVENS PASS - WEST,5.0,1550.0,4650.0,3.12,8,"This hike has deep forest, pretty mountain lakes, fall color, and plenty of good trail to walk on without watching your feet all the time.","['Dogs allowed on leash', 'Good for kids', 'Lakes']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
458,Middle Fork Snoqualmie River,SNOQUALMIE REGION -- NORTH BEND AREA,12.0,1650.0,1100.0,3.79,33,"This long, meandering hike heads upstream along the Middle Fork of the Snoqualmie River, offering a long day hike, or a great beginning backpacking experience.","['Mountain views', 'Wildlife', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
459,Martin Peak Snowshoe,CENTRAL CASCADES -- STEVENS PASS - EAST,,,,,0,A peak adjacent to Spinnaker Peak - 360 degree views of the surrounding Cascade mountains. Climbing experience and equipment required.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Margaret Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.0,1500.0,5100.0,3.32,34,"Logging paid for most of the trails in the Cascades, so sometimes hikers must expect to hike the terrain that provided that rich stock of timber. This trail starts on an old logging road, leads through old clearcuts—now nicely regrown as lush berry meadows and forest stands—and enters lush old second-growth forest. It’s a great way to experience both the natural and human history of the area, while enjoying some remarkable wild country around a pristine alpine lake.","['Mountain views', 'Dogs allowed on leash', 'Lakes', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
461,Marmot Lake,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,16.0,,4500.0,3.78,9,"Scenic Marmot Lake is reachable from both Highway 2 or the Salmon La Sac area, but either way will be a challenge -- it's 14 miles via Deception Pass, or more than 10 miles from the Tucquala Meadows Trailhead.","['Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Lakes', 'Fall foliage', 'Rivers']",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
462,Pear Lake via Meadow Creek,CENTRAL CASCADES -- STEVENS PASS - WEST,16.5,3375.0,5225.0,3.83,6,A rambling trail that provides easy access from the Beckler River Road near Skykomish to the Pacific Crest Trail and Henry M. Jackson Wilderness through the Meadow Creek Valley to sweet little Pear Lake for an overnight.,"['Ridges/passes', 'Wildlife', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Fall foliage']",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
463,Meander Meadow - Dishpan Gap - Cady Ridge Loop,CENTRAL CASCADES -- STEVENS PASS - EAST,16.0,,5600.0,4.0,9,"This is a great weekend backpacking trip for wildflower lovers. Miles of wildflowers along Meander Meadow and Cady Ridge will delight the hiker who passes through during July and August. Fantastic views of the Cascades, Glacier Peak and plunging valleys add to the allure, and it's all packaged up in a 16-mile loop.","['Ridges/passes', 'Wildlife', 'Rivers', 'Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Old growth', 'Fall foliage']",0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
464,Meander Meadows,CENTRAL CASCADES -- STEVENS PASS - EAST,12.5,1980.0,4992.0,3.29,7,"Follow the Little Wenatchee River all the way to its headwaters high on the Cascade crest. From mile-high, miles-long alpine meadows, the river meanders. And so will you upon reaching these heavenly flower gardens. The hike in is a long approach and is warm at times across brushy avalanche slopes, but it is worth every ounce of sweat expended and every annoying fly swatted.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
465,Melakwa Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,8.5,2700.0,4600.0,4.19,88,"The way to Melakwa Lake is like two different trails: first a wide gentle trail through old growth forest beneath an elevated and noisy Interstate freeway. And second, a rocky steep trail that follows a waterfall and a precipitous gorge upstream to get to a pair of clear alpine lakes flanked by rocky peaks. Is it about the journey or the destination? You decide.","['Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
466,Mary's Peak,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,,3143.0,6680.0,,0,"A class 2 scramble to Mary's Peak in the Teanaway, featuring stunning views of the Stuart Range. Climbing experience recommended.","['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Miller Peak,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,8.8,3200.0,6400.0,2.86,7,"Miller Peak is an excellent, challenging day hike, which gains 3200 feet to the high point. But all that climbing affords you breathtaking views of the Stuarts, and much of the Teanaway area, as well as Mount Rainier.","['Wildflowers/Meadows', 'Wildlife', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
468,Merritt Lake and Lost Lake,CENTRAL CASCADES -- STEVENS PASS - EAST,5.5,2100.0,5023.0,3.33,15,"Merritt Lake is nestled under Nason Ridge a dozen miles east of Stevens Pass. This is just far enough from the crest to leave west side clouds behind. This hike is an under-appreciated one in the Stevens Pass area, so you may be lucky enough to enjoy a relatively uncrowded hike.","['Mountain views', 'Dogs allowed on leash', 'Ridges/passes', 'Old growth', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
469,McGregor Mountain,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,16.0,6200.0,8122.0,3.0,3,"The most prominent peak in the Stehekin Valley, McGregor Mountain offers commanding views of the valley, Lake Chelan and a wide swath of the North Cascades, in addition to a high alpine environment that is equaled by few other trails anywhere. Though long and challenging, the trail is moderate in pitch, gaining a little over 6,000 feet in elevation over a measured eight miles, until the final scramble to the summit.","['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
470,Lundin Peak,SNOQUALMIE REGION -- SNOQUALMIE PASS,7.6,2900.0,6057.0,4.0,3,This is a steep scramble up Lundin Peak. Gear and prior experience required.,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
471,Lodge Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,3.75,950.0,3500.0,3.64,28,"Snoqualmie Pass grows ever more developed each year. Condos go up left and right, the ski area plans new ski lifts (or replacements for existing chairs), and hotels pop up east and west. But even with the development, these are still mountains and there is still stunning mountain scenery to enjoy, even on the fringes of the developed areas. Lodge Lake stands as proof.","['Dogs allowed on leash', 'Good for kids', 'Lakes']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
472,Longs Pass,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,5.8,2100.0,6250.0,4.25,16,"Longs Pass provides unbelievable views, but only after an unbelievable amount of elevation gain. In less than 3 miles, you'll climb more than 2000 feet in elevation -- that's quite like climbing a staircase for three miles. It's shady the first half, but soon comes out into an exposed area; bring as much water as you can carry!","['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed', 'Good for kids']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
473,Lower Wildcat Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,,,,3.0,3,"Lower Wildcat Lake offers an opportunity to get deeper into the backcountry past Snow Lake, while still on a formal trail.",['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Magnet Creek,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,6.0,2300.0,4400.0,2.8,5,"Hike this unmaintained trail on the dry side of the Cascades. It's a scenic, wildflower wonderland, if you're willing and able to route-find your way to the ridge.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Lyman Lakes,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,21.0,2774.0,5983.0,3.44,9,"A boat ride up Lake Chelan to a summer camp, then a long hike to beautiful remote lakes east of Glacier Peak.","['Ridges/passes', 'Wildlife', 'Lakes', 'Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
476,Low Mountain,SNOQUALMIE REGION -- SNOQUALMIE PASS,6.0,3300.0,5420.0,,0,A scramble up a mountain just off I-90 near Snoqualmie Pass. Route finding and climbing experience required.,['Summits'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Mad Lake,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,24.4,1800.0,,3.67,3,"This pleasant trail is shared by hikers, backpackers, mountain bikes and dirt bikes. All visitors will ultimately reach Mad Lake and its pretty surrounding meadows.","['Wildflowers/Meadows', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
478,Lake Julius and Loch Eileen,CENTRAL CASCADES -- STEVENS PASS - EAST,15.9,3815.0,5735.0,2.5,6,"You can hike to Loch Eileen two ways — via a trailhead off Highway 2, or from trails you can access if you reserve a spot at Alpine Lakes High Camp.","['Wildflowers/Meadows', 'Lakes', 'Fall foliage', 'Waterfalls']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
479,Lower Mad River Valley,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,29.8,2500.0,2000.0,3.5,6,"Hike along the Lower Mad River in a narrow rocky canyon. The first three miles makes an ideal day trip for hikers of all abilities. Looking for more adventure? The trail continues for almost 15 miles where it meets the Upper Mad River trail. Be prepared to share the trail with bikes, horses, and motorcycles.","['Wildflowers/Meadows', 'Wildlife', 'Established campsites', 'Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
480,Little Wenatchee River Road Snowshoe,CENTRAL CASCADES -- LEAVENWORTH AREA,20.0,1080.0,3000.0,,0,"Starting from the west end of Lake Wenatchee, this snowshoe along a snowy forest service road is a great way to get out in the snow on a relatively flat and wide trail. Side roads offer an uphill route to a viewpoint or you can meander down toward the river and turn back at any point you please.",['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Little Wenatchee River,CENTRAL CASCADES -- STEVENS PASS - EAST,3.0,250.0,2500.0,2.89,9,"This trail travels along the valley floor of the Little Wenatchee River for several miles before switchbacking up 1500 feet through intermittent slide alder and mature forest to Meander Meadows. While the trail does receive occasional brushing, the lower section can be challenging.","['Wildflowers/Meadows', 'Mountain views', 'Established campsites', 'Summits', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
482,Loser Ridge Snowshoe,SNOQUALMIE REGION -- SNOQUALMIE PASS,8.6,2200.0,4600.0,,0,A moderate snowshoe hike in Snoqualmie Pass.,"['Mountain views', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
483,Lake Vicente,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,4.2,,,3.0,4,This is a lateral trail off the PCT north of Waptus Lake.,['Lakes'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
484,Lake Valhalla Snowshoe,CENTRAL CASCADES -- STEVENS PASS - EAST,13.0,1700.0,4800.0,4.0,3,"A popular summertime destination for many hikers and backpackers, Lake Valhalla also makes a rewarding advanced snowshoe route.","['Mountain views', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
485,Larch Lake,CENTRAL CASCADES -- STEVENS PASS - EAST,12.0,2450.0,6078.0,3.5,12,"There are two ways to get to Larch Lake: either up the Chiwaukum Creek trail to a junction with the trail to Larch Lake, or via Alpine Lakes High Camp (reservations required).","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Waterfalls', 'Lakes', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
486,Lichtenwasser Lake Snowshoe,CENTRAL CASCADES -- STEVENS PASS - EAST,,,,3.0,1,"This snowshoe route follows Smithbrook Road north from Highway 2, then leaves the road to climb across open terrain to Licthenwasser Lake. This route requires routefinding skills and the ability to read and navigate through avalanche terrain.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Little Giant Pass,CENTRAL CASCADES -- STEVENS PASS - EAST,10.0,4000.0,6409.0,4.09,11,"Little Giant Pass is home to one of the finest views in Washington State: the sight of the Napeequa River, winding its lazy way through the perfect U-shaped valley left by receding glaciers that cling wearily to the surrounding heights and feed the silver ribbon beneath your feet. It is a rare prize, this view, locked away at the end of a long, 4,000-foot climb that is itself guarded most of the year by an icy river crossing.","['Wildflowers/Meadows', 'Mountain views', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Lake Wenatchee State Park,CENTRAL CASCADES -- STEVENS PASS - EAST,8.0,75.0,1800.0,3.43,7,"A short detour off Highway 2 east of Stevens Pass will lead you a montane masterpiece tucked in the foothills of the Central Cascades. Gentle meandering hiking trails along the 489-acre state park offer scenic views of Nason Ridge, Dirty Face Mountain and the iconic Emerald Island.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Good for kids', 'Lakes', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
489,Joe Lake,SNOQUALMIE REGION -- SNOQUALMIE PASS,16.0,2235.0,4625.0,4.57,7,"This hike has a little bit of everything (trout-filled lake, views, forest, flowers) and surprisingly a good dose of solitude.","['Wildflowers/Meadows', 'Mountain views', 'Old growth', 'Lakes', 'Established campsites']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
490,Lanham Lake Snowshoe,CENTRAL CASCADES -- STEVENS PASS - EAST,3.2,1100.0,4100.0,3.76,17,"The snowshoe route up to Lanham Lake is a straightforward climb through trees, but you'll be rewarded with a delightful little lake and a burst of sunshine on a clear, chilly day.","['Dogs allowed on leash', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
491,Lanham Lake,CENTRAL CASCADES -- STEVENS PASS - EAST,3.2,1140.0,4140.0,2.83,6,"This short but steep little trail just east of the Stevens Pass ski area is an excellent little gem in winter or summer. Get a workout, visit a lake, and all in less than half a day, if you hike at a fast clip.","['Mountain views', 'Lakes']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
492,Lemah Meadow,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,2.0,200.0,3250.0,3.0,4,"Lemah Meadow is a marshy clearing set at the foot of Lemah Mountain. Although the meadow lies along the Pacific Crest Trail, it is most easily reached by the Pete Lake Trail. A couple of scenic campsites make this a fun alternative to staying at the busy shores of Pete Lake.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,Little Salmon La Sac,SNOQUALMIE REGION -- SALMON LA SAC/TEANAWAY,0.75,693.0,5455.0,3.5,4,An unmaintained trail connecting to the Sasse Ridge Trail.,"['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,Leroy Creek High Route,CENTRAL CASCADES,,,,2.71,7,A tough route through spectacular scenery.,"['Wildflowers/Meadows', 'Ridges/passes', 'Mountain views', 'Waterfalls', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
495,Larch Lakes (Entiat),CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,16.0,2600.0,5750.0,4.0,2,"A hike to two lakes situated in a remote hanging valley in the Entiat, this beautiful hike is ideal for adventurous backpackers in the autumn who are looking for larches.","['Ridges/passes', 'Summits', 'Lakes', 'Fall foliage']",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
496,Lake Chelan State Park - Little Bear Trail,CENTRAL CASCADES -- ENTIAT MOUNTAINS/LAKE CHELAN,2.3,250.0,1350.0,3.67,6,Well-maintained but secluded 2.3 mile loop through savannah and pine forest inside Lake Chelan State Park.,"['Wildflowers/Meadows', 'Wildlife', 'Established campsites', 'Dogs allowed on leash', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
497,Little Annapurna,CENTRAL CASCADES -- LEAVENWORTH AREA,14.6,5018.0,8440.0,5.0,3,Scramble to a scenic high point in the upper Enchantments.,"['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
